+-------------+----------------------------------+-------------------------------------+---------------------------------------+-----------------------------------+
| Values of N | Time Complexity for Naive Search | Time Complexity for BottomUp Search | Time Complexity for ClosedForm Search | Time Complexity for Matrix Search |
|     1105    |             Too Long             |        5.499799999997279e-05        |      Will throw math range error      |       0.0008999709999999439       |
|     1152    |             Too Long             |        5.730800000014469e-05        |      Will throw math range error      |       0.0009412619999999983       |
|     1200    |             Too Long             |         6.00500000000892e-05        |      Will throw math range error      |       0.0009882179999998186       |
|     1249    |             Too Long             |        6.317500000019294e-05        |      Will throw math range error      |       0.0010298259999999004       |
|     1299    |             Too Long             |        6.634399999994045e-05        |      Will throw math range error      |       0.0010789200000003163       |
|     1350    |             Too Long             |        6.904399999996258e-05        |      Will throw math range error      |        0.001123727999999602       |
|     1402    |             Too Long             |         7.18310000000777e-05        |      Will throw math range error      |       0.0011763770000001728       |
|     1455    |             Too Long             |         7.55969999999273e-05        |      Will throw math range error      |       0.0012252910000003503       |
|     1509    |             Too Long             |        7.913799999981208e-05        |      Will throw math range error      |        0.001275898000000275       |
|     1564    |             Too Long             |        8.258200000010874e-05        |      Will throw math range error      |       0.0013284550000003392       |
|     1620    |             Too Long             |        8.713999999976352e-05        |      Will throw math range error      |       0.0013849310000000337       |
|     1677    |             Too Long             |        9.075999999996753e-05        |      Will throw math range error      |       0.0014421480000001985       |
|     1735    |             Too Long             |        9.368299999978902e-05        |      Will throw math range error      |       0.0014977069999999593       |
|     1794    |             Too Long             |         9.82060000001006e-05        |      Will throw math range error      |       0.0015588649999997983       |
|     1854    |             Too Long             |        0.00010213299999994874       |      Will throw math range error      |       0.0016198410000001218       |
|     1915    |             Too Long             |        0.0001085550000001767        |      Will throw math range error      |        0.001684461999999609       |
|     1977    |             Too Long             |        0.00011239899999981873       |      Will throw math range error      |       0.0018018730000002314       |
|     2040    |             Too Long             |        0.00011668399999997803       |      Will throw math range error      |        0.001823608000000032       |
|     2104    |             Too Long             |        0.00012096800000005459       |      Will throw math range error      |       0.0018961559999999267       |
|     2169    |             Too Long             |        0.00012825800000015875       |      Will throw math range error      |       0.0019653650000002187       |
|     2235    |             Too Long             |        0.00013190100000004534       |      Will throw math range error      |       0.0020918670000003026       |
|     2302    |             Too Long             |        0.00013772200000028434       |      Will throw math range error      |        0.002105945999999914       |
|     2370    |             Too Long             |        0.0001405239999998642        |      Will throw math range error      |       0.0021820830000001123       |
|     2439    |             Too Long             |        0.00014690000000028292       |      Will throw math range error      |       0.0023055319999998325       |
|     2509    |             Too Long             |        0.0001527299999999343        |      Will throw math range error      |       0.0023315809999999715       |
|     2580    |             Too Long             |        0.00015841100000013597       |      Will throw math range error      |       0.0024180720000002154       |
|     2652    |             Too Long             |        0.00016376400000028823       |      Will throw math range error      |        0.002499589999999774       |
|     2725    |             Too Long             |        0.0001694539999999023        |      Will throw math range error      |        0.002580966000000018       |
|     2799    |             Too Long             |        0.00017499799999987076       |      Will throw math range error      |       0.0026630280000001783       |
|     2874    |             Too Long             |        0.0001839440000002135        |      Will throw math range error      |        0.002752426000000252       |
|     2950    |             Too Long             |        0.00018772199999972372       |      Will throw math range error      |       0.0028351789999998545       |
|     3027    |             Too Long             |        0.00019632099999977726       |      Will throw math range error      |        0.002933440000000065       |
|     3105    |             Too Long             |        0.00020082700000001452       |      Will throw math range error      |       0.0030282000000001474       |
|     3184    |             Too Long             |        0.00020871300000013804       |      Will throw math range error      |        0.00317298300000024        |
|     3264    |             Too Long             |        0.00021431900000035142       |      Will throw math range error      |       0.0032248039999998035       |
|     3345    |             Too Long             |        0.00022091000000035166       |      Will throw math range error      |        0.003321355999999831       |
|     3427    |             Too Long             |        0.00022726000000039548       |      Will throw math range error      |        0.003421399000000047       |
|     3510    |             Too Long             |        0.00023736099999993598       |      Will throw math range error      |        0.003528687000000197       |
|     3594    |             Too Long             |        0.0002452139999999936        |      Will throw math range error      |       0.0036381930000000118       |
|     3679    |             Too Long             |        0.0002484529999997598        |      Will throw math range error      |       0.0037438119999997355       |
|     3765    |             Too Long             |        0.0002580939999998755        |      Will throw math range error      |        0.003849592000000346       |
|     3852    |             Too Long             |        0.00026714899999991104       |      Will throw math range error      |        0.003976084000000046       |
|     3940    |             Too Long             |        0.0002724069999997525        |      Will throw math range error      |        0.004133874000000315       |
|     4029    |             Too Long             |        0.0002819640000000234        |      Will throw math range error      |        0.004208122000000092       |
|     4119    |             Too Long             |        0.00029098499999991034       |      Will throw math range error      |       0.0043226100000000045       |
|     4210    |             Too Long             |        0.00030258300000030047       |      Will throw math range error      |        0.004450394000000024       |
|     4302    |             Too Long             |        0.0003090289999998497        |      Will throw math range error      |        0.004579558999999733       |
|     4395    |             Too Long             |        0.00031968700000017947       |      Will throw math range error      |        0.004712910999999931       |
|     4489    |             Too Long             |        0.00033025699999988944       |      Will throw math range error      |        0.004840650999999863       |
|     4584    |             Too Long             |        0.0003381490000000653        |      Will throw math range error      |       0.0049811619999999834       |
|     4680    |             Too Long             |        0.0003500079999998462        |      Will throw math range error      |        0.005165384000000106       |
|     4777    |             Too Long             |         0.000359790000000082        |      Will throw math range error      |       0.0053029680000000745       |
|     4875    |             Too Long             |        0.00037357400000015417       |      Will throw math range error      |        0.005407860000000042       |
|     4974    |             Too Long             |        0.0004247980000000595        |      Will throw math range error      |        0.005561717999999605       |
|     5074    |             Too Long             |        0.0003939680000000223        |      Will throw math range error      |        0.005715681999999944       |
|     5175    |             Too Long             |        0.0004100860000000317        |      Will throw math range error      |        0.005923918999999778       |
|     5277    |             Too Long             |        0.00042267699999998243       |      Will throw math range error      |        0.006037174000000256       |
|     5380    |             Too Long             |        0.00043363999999979086       |      Will throw math range error      |       0.0062051649999999015       |
|     5484    |             Too Long             |         0.000447982000000291        |      Will throw math range error      |        0.006391889999999734       |
|     5589    |             Too Long             |        0.0004944059999996142        |      Will throw math range error      |        0.006668894000000147       |
|     5695    |             Too Long             |        0.0004775119999997912        |      Will throw math range error      |        0.006813573000000073       |
|     5802    |             Too Long             |        0.0004945910000002662        |      Will throw math range error      |        0.007033611999999856       |
|     5910    |             Too Long             |        0.0005245990000002365        |      Will throw math range error      |        0.007205445999999949       |
|     6019    |             Too Long             |         0.000568463000000019        |      Will throw math range error      |        0.007381039999999839       |
|     6129    |             Too Long             |        0.0005767620000001195        |      Will throw math range error      |        0.00759221099999996        |
|     6240    |             Too Long             |        0.0005950630000000068        |      Will throw math range error      |        0.007774689000000112       |
|     6352    |             Too Long             |        0.0005668279999997416        |      Will throw math range error      |        0.007960970999999706       |
|     6465    |             Too Long             |        0.0005860040000000843        |      Will throw math range error      |        0.008217672000000231       |
|     6579    |             Too Long             |        0.0006025619999996401        |      Will throw math range error      |        0.00839024499999974        |
|     6694    |             Too Long             |        0.0006216690000000469        |      Will throw math range error      |        0.008617517000000241       |
|     6810    |             Too Long             |        0.0006771280000004154        |      Will throw math range error      |        0.008867487000000285       |
|     6927    |             Too Long             |        0.0006578619999997315        |      Will throw math range error      |        0.009114816999999942       |
|     7045    |             Too Long             |        0.0006691389999997632        |      Will throw math range error      |        0.009307444999999692       |
|     7164    |             Too Long             |        0.0006898539999999898        |      Will throw math range error      |        0.009550379999999858       |
|     7284    |             Too Long             |        0.0007536780000001464        |      Will throw math range error      |        0.009845283000000205       |
|     7405    |             Too Long             |        0.0007334509999998851        |      Will throw math range error      |        0.010071825999999895       |
|     7527    |             Too Long             |        0.0007470290000002322        |      Will throw math range error      |        0.010344347000000198       |
|     7650    |             Too Long             |        0.0008095169999999818        |      Will throw math range error      |        0.01053216300000015        |
|     7774    |             Too Long             |        0.0008238870000001342        |      Will throw math range error      |        0.010868633999999933       |
|     7899    |             Too Long             |        0.0008090300000000994        |      Will throw math range error      |        0.011103746000000303       |
|     8025    |             Too Long             |        0.0008255909999999034        |      Will throw math range error      |        0.011402578000000219       |
|     8152    |             Too Long             |        0.0008530559999999632        |      Will throw math range error      |        0.011584147000000211       |
|     8280    |             Too Long             |        0.0008742180000003152        |      Will throw math range error      |        0.011934163000000275       |
|     8409    |             Too Long             |         0.000890442999999852        |      Will throw math range error      |        0.012159382000000107       |
|     8539    |             Too Long             |        0.0009163349999998793        |      Will throw math range error      |        0.012460439999999906       |
|     8670    |             Too Long             |        0.0009336099999996961        |      Will throw math range error      |        0.012699034999999803       |
|     8802    |             Too Long             |        0.0009642639999998259        |      Will throw math range error      |        0.013016246999999925       |
|     8935    |             Too Long             |        0.0009868399999999333        |      Will throw math range error      |        0.013887191999999882       |
|     9069    |             Too Long             |        0.0017811599999997263        |      Will throw math range error      |        0.014137735000000262       |
|     9204    |             Too Long             |        0.0010334929999999964        |      Will throw math range error      |        0.013945625999999933       |
|     9340    |             Too Long             |        0.0010548019999996328        |      Will throw math range error      |        0.014309590999999955       |
|     9477    |             Too Long             |         0.001125292000000222        |      Will throw math range error      |        0.014656854000000052       |
|     9615    |             Too Long             |        0.0011170799999997705        |      Will throw math range error      |        0.015140167000000204       |
|     9754    |             Too Long             |        0.0011492710000000628        |      Will throw math range error      |        0.015266968999999797       |
|     9894    |             Too Long             |        0.0011699380000003146        |      Will throw math range error      |        0.015530610999999972       |
|    10035    |             Too Long             |        0.0011993280000002216        |      Will throw math range error      |        0.015924455000000393       |
|    10177    |             Too Long             |        0.0012154940000002057        |      Will throw math range error      |        0.016264887000000172       |
|    10320    |             Too Long             |        0.0012605520000001924        |      Will throw math range error      |        0.016632700999999805       |
|    10464    |             Too Long             |        0.0012734480000000659        |      Will throw math range error      |        0.016885838999999958       |
|    10609    |             Too Long             |        0.0013131090000002565        |      Will throw math range error      |        0.017328539999999837       |
|    10755    |             Too Long             |        0.0013344740000000854        |      Will throw math range error      |        0.017718193999999965       |
|    10902    |             Too Long             |         0.001362619999999648        |      Will throw math range error      |        0.018078231000000056       |
|    11050    |             Too Long             |         0.001395833000000124        |      Will throw math range error      |        0.018606795000000176       |
|    11199    |             Too Long             |        0.0014423669999996669        |      Will throw math range error      |        0.018896992999999807       |
|    11349    |             Too Long             |         0.001485451000000193        |      Will throw math range error      |        0.01964213800000003        |
|    11500    |             Too Long             |        0.0016033969999997844        |      Will throw math range error      |        0.019955616000000287       |
|    11652    |             Too Long             |        0.0017150390000000293        |      Will throw math range error      |        0.02135462900000018        |
|    11805    |             Too Long             |        0.0016449430000000653        |      Will throw math range error      |        0.02287316500000003        |
|    11959    |             Too Long             |        0.0018778580000002876        |      Will throw math range error      |        0.023027314000000132       |
|    12114    |             Too Long             |         0.001773795000000078        |      Will throw math range error      |        0.02389590400000019        |
|    12270    |             Too Long             |         0.001864121999999746        |      Will throw math range error      |        0.023043171999999945       |
|    12427    |             Too Long             |        0.0017919219999997793        |      Will throw math range error      |        0.022764523000000203       |
|    12585    |             Too Long             |         0.001800492000000098        |      Will throw math range error      |        0.02312283000000015        |
|    12744    |             Too Long             |        0.0018374770000000318        |      Will throw math range error      |        0.023741153999999653       |
|    12904    |             Too Long             |        0.0018955570000001032        |      Will throw math range error      |        0.02429456200000013        |
|    13065    |             Too Long             |        0.0019202279999999128        |      Will throw math range error      |        0.024703066999999912       |
|    13227    |             Too Long             |         0.001976835999999871        |      Will throw math range error      |        0.025401550999999856       |
|    13390    |             Too Long             |         0.002016762999999866        |      Will throw math range error      |        0.02616040900000005        |
|    13554    |             Too Long             |         0.002112961999999996        |      Will throw math range error      |        0.027393810000000407       |
|    13719    |             Too Long             |        0.0021245290000000416        |      Will throw math range error      |        0.02798112400000008        |
|    13885    |             Too Long             |        0.0022551059999997847        |      Will throw math range error      |        0.02769281300000026        |
|    14052    |             Too Long             |        0.0021934079999992306        |      Will throw math range error      |        0.028103309000000465       |
|    14220    |             Too Long             |        0.0022716359999996882        |      Will throw math range error      |        0.028604082999999392       |
|    14389    |             Too Long             |         0.002354742999999715        |      Will throw math range error      |        0.02913099600000013        |
|    14559    |             Too Long             |         0.002364994999999759        |      Will throw math range error      |        0.029866100999999645       |
|    14730    |             Too Long             |        0.0024030409999999947        |      Will throw math range error      |        0.030299857000000152       |
|    14902    |             Too Long             |        0.0024591199999992597        |      Will throw math range error      |        0.03104598000000003        |
|    15075    |             Too Long             |        0.0025083520000004356        |      Will throw math range error      |        0.03217449899999991        |
|    15249    |             Too Long             |         0.002636383000000464        |      Will throw math range error      |        0.03227557200000053        |
